date,portfolio_value,daily_pnl,zscore_SLB_HAL,position_SLB_HAL,hedgert_SLB_HAL,value_SLB_HAL,zscore_PSX_VLO,position_PSX_VLO,hedgert_PSX_VLO,value_PSX_VLO,zscore_XOM_CVX,position_XOM_CVX,hedgert_XOM_CVX,value_XOM_CVX
2025-07-01,99236.92,92.49,0.363937,flat,0.54486,32567.44,-0.06325,long_spread,0.967587,33336.15,-0.22971,flat,0.882076,33333.33
2025-07-02,99195.79,-41.14,0.548709,flat,0.564098,32567.44,-0.145341,long_spread,0.984137,33295.02,-0.209847,flat,0.893046,33333.33
2025-07-03,99009.74,-186.05,0.470425,flat,0.564048,32567.44,-0.441617,long_spread,0.981919,33108.97,-0.020541,flat,0.893239,33333.33
2025-07-07,98990.18000000001,-19.57,0.366011,flat,0.54231,32567.44,-0.432717,long_spread,0.96948,33089.41,-0.110187,flat,0.874132,33333.33
2025-07-08,98893.94,-96.24,0.692333,flat,0.550039,32567.44,-0.522552,long_spread,0.960759,32993.17,-0.324681,flat,0.887109,33333.33
2025-07-09,98914.27,20.33,0.528556,flat,0.548296,32567.44,-0.434909,long_spread,0.950743,33013.5,-0.306441,flat,0.849571,33333.33
2025-07-10,98769.41,-144.86,0.703175,flat,0.563368,32567.44,-0.54059,long_spread,0.93445,32868.64,-0.1839,flat,0.83586,33333.33
2025-07-11,98628.51000000001,-140.89,0.48865,flat,0.582621,32567.44,-0.731751,long_spread,0.918087,32727.74,-0.198945,flat,0.823738,33333.33
2025-07-14,98739.98,111.47,0.389768,flat,0.592472,32567.44,-0.540929,long_spread,0.906035,32839.21,-0.028416,flat,0.82131,33333.33
2025-07-15,98653.52,-86.46,-0.042652,flat,0.597424,32567.44,-0.646014,long_spread,0.894616,32752.75,-0.11734,flat,0.819559,33333.33
2025-07-16,98683.65,30.13,-0.324135,flat,0.615101,32567.44,-0.677428,long_spread,0.885371,32782.88,-0.15702,flat,0.820221,33333.33
